,title,genre,gross,tickets_sold,budget,url,rating,agerating,releaseyear
123,Tolkien,Drama,"$4,535,154 ","495,104",20000000,https://www.imdb.com/title/tt3361792/?ref_=adv_li_tt,6.8,PG-13,2019
124,The Beach Bum,Comedy,"$3,502,600 ","382,379",5000000,https://www.imdb.com/title/tt6511932/?ref_=adv_li_tt,5.5,R,2019
125,Jay and Silent Bob Reboot,Comedy,"$3,258,824 ","355,766",10000000,https://www.imdb.com/title/tt6521876/?ref_=adv_li_tt,5.6,R,2019
127,Honey Boy,Drama,"$2,980,099 ","325,338",3500000,https://www.imdb.com/title/tt8151874/?ref_=adv_li_tt,7.2,R,2019
129,The Kid,Western,"$1,508,593 ","164,693",7000000,https://www.imdb.com/title/tt4975920/?ref_=adv_li_tt,5.9,R,2019
130,1917,Thriller/Suspense,"$1,326,178 ","144,779",100000000,https://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,8.2,R,2019
132,Monos,Thriller/Suspense,"$406,473 ","44,374",2000000,https://www.imdb.com/title/tt6062774/?ref_=adv_li_tt,6.9,R,2019
133,Lucy in the Sky,Drama,"$319,976 ","34,931",27000000,https://www.imdb.com/title/tt4682804/?ref_=adv_li_tt,4.9,R,2019
134,Just Mercy,Drama,"$267,881 ","29,245",25000000,https://www.imdb.com/title/tt4916630/?ref_=adv_li_tt,7.6,PG-13,2019
136,Triple Threat,Thriller/Suspense,"$76,289 ","8,328",10000000,https://www.imdb.com/title/tt6643972/?ref_=adv_li_tt,5.6,R,2019
137,Crown Vic,Action,"$3,868 ",422,3600000,https://www.imdb.com/title/tt4558200/?ref_=adv_li_tt,6.4,R,2019
138,Dolittle,Adventure,"$77,047,065 ","8,402,079",175000000,https://www.imdb.com/title/tt6673612/?ref_=adv_li_tt,5.6,PG,2020
139,The Invisible Man,Horror,"$64,914,050 ","7,078,958",7000000,https://www.imdb.com/title/tt1051906/?ref_=adv_li_tt,7.1,R,2020
140,The Call of the Wild,Adventure,"$62,342,368 ","6,798,513",125000000,https://www.imdb.com/title/tt7504726/?ref_=adv_li_tt,6.7,PG,2020
141,Onward,Adventure,"$61,555,145 ","6,712,665",200000000,https://www.imdb.com/title/tt7146812/?ref_=adv_li_tt,7.4,PG,2020
142,Tenet,Action,"$58,044,165 ","6,329,788",205000000,https://www.imdb.com/title/tt6723592/?ref_=adv_li_tt,7.3,PG-13,2020
144,The Gentlemen,Action,"$36,471,796 ","3,977,295",22000000,https://www.imdb.com/title/tt8367814/?ref_=adv_li_tt,7.8,R,2019
145,The Croods: A New Age,Adventure,"$32,334,280 ","3,526,093",65000000,https://www.imdb.com/title/tt2850386/?ref_=adv_li_tt,6.9,PG,2020
147,Fantasy Island,Horror,"$26,441,782 ","2,883,509",7000000,https://www.imdb.com/title/tt0983946/?ref_=adv_li_tt,4.9,PG-13,2020
148,The New Mutants,Horror,"$23,855,569 ","2,601,479",67000000,https://www.imdb.com/title/tt4682266/?ref_=adv_li_tt,5.3,PG-13,2020
149,Wonder Woman 1984,Action,"$23,009,311 ","2,509,194",200000000,https://www.imdb.com/title/tt7126948/?ref_=adv_li_tt,5.4,PG-13,2020
151,Like a Boss,Comedy,"$22,169,514 ","2,417,613",29000000,https://www.imdb.com/title/tt7545266/?ref_=adv_li_tt,4.6,R,2020
152,Unhinged,Thriller/Suspense,"$20,831,465 ","2,271,697",33000000,https://www.imdb.com/title/tt10059518/?ref_=adv_li_tt,6.0,R,2020
153,The Photograph,Drama,"$20,578,185 ","2,244,076",15000000,https://www.imdb.com/title/tt7798646/?ref_=adv_li_tt,6.1,PG-13,2020
154,The War with Grandpa,Comedy,"$18,861,607 ","2,056,881",38000000,https://www.imdb.com/title/tt4532038/?ref_=adv_li_tt,5.6,PG,2020
156,Underwater,Thriller/Suspense,"$17,291,078 ","1,885,613",65000000,https://www.imdb.com/title/tt5774060/?ref_=adv_li_tt,5.8,PG-13,2020
157,The Turning,Horror,"$15,472,775 ","1,687,325",12000000,https://www.imdb.com/title/tt7510346/?ref_=adv_li_tt,3.9,PG-13,2020
158,Gretel & Hansel,Horror,"$15,347,654 ","1,673,680",5000000,https://www.imdb.com/title/tt9086228/?ref_=adv_li_tt,5.5,PG-13,2020
159,Honest Thief,Thriller/Suspense,"$14,163,574 ","1,544,555",30000000,https://www.imdb.com/title/tt1838556/?ref_=adv_li_tt,6.0,PG-13,2020
160,The Way Back,Drama,"$13,590,514 ","1,482,062",23000000,https://www.imdb.com/title/tt8544498/?ref_=adv_li_tt,6.7,R,2020
161,Brahms: The Boy II,Horror,"$12,611,536 ","1,375,303",10000000,https://www.imdb.com/title/tt9173418/?ref_=adv_li_tt,4.7,PG-13,2020
162,Impractical Jokers: The Movie,Comedy,"$10,466,091 ","1,141,340",3000000,https://www.imdb.com/title/tt9208444/?ref_=adv_li_tt,5.8,PG-13,2020
163,I Still Believe,Drama,"$10,410,004 ","1,135,223",12000000,https://www.imdb.com/title/tt9779516/?ref_=adv_li_tt,6.4,PG,2020
164,Emma.,Drama,"$10,055,355 ","1,096,549",10000000,https://www.imdb.com/title/tt9214832/?ref_=adv_li_tt,6.7,PG,2020
165,Bloodshot,Action,"$10,021,787 ","1,092,888",45000000,https://www.imdb.com/title/tt1634106/?ref_=adv_li_tt,5.7,PG-13,2020
166,Come Play,Horror,"$9,505,540 ","1,036,591",9000000,https://www.imdb.com/title/tt8004664/?ref_=adv_li_tt,5.7,PG-13,2020
